,complexity,loss,score,equation,sympy_format,lambda_format
34,36,0.102395876,0.016699623,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ inv((0.24008793471784998 + Co) ^ sin(sqrt(Cr)))) ^ Al) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**Al)**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**Al)**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
35,37,0.099424928,0.029443574,(((4.974996772298727 ^ (sin(cube(cube(cos(sin(cube(Ni ^ inv((0.24008793471784998 + Co) ^ sin(sqrt(Cr)))) ^ Al) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - sin((Ni**(3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - sin((Ni**(3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
36,38,0.098501203,0.009334109,(((4.974996772298727 ^ (sin(cube(cube(cos(sin(cube(Ni ^ inv((0.24008793471784998 + Co) ^ sin(sqrt(Cr)))) ^ Al) - Cu))) - Cu) + sin(Al))) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - sin((Ni**(3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - sin((Ni**(3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
37,39,0.097773801,0.007412098,(((4.974996772298727 ^ (sin(cube(cube(cos(sin(cube(sin(Ni) ^ inv((0.24008793471784998 + Co) ^ sin(sin(sqrt(Cr))))) ^ Al) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - sin((sin(Ni)**(3/(Co + 0.24008793471784998)**sin(sin(sqrt(Cr)))))**Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - sin((sin(Ni)**(3/(Co + 0.24008793471784998)**sin(sin(sqrt(Cr)))))**Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
38,40,0.094970873,0.029086411,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ (inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sin(sqrt(Cr))) + Al)) ^ Al) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al + 3/(Co + 0.30589164935870464)**sin(sqrt(Cr))))**Al)**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al + 3/(Co + 0.30589164935870464)**sin(sqrt(Cr))))**Al)**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
39,41,0.094585345,0.004067706,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ (inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sin(sqrt(Cr))) + Al)) ^ sin(Al)) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al + 3/(Co + 0.30589164935870464)**sin(sqrt(Cr))))**sin(Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al + 3/(Co + 0.30589164935870464)**sin(sqrt(Cr))))**sin(Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
40,42,0.089471678,0.055580416,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sqrt(Cr)) - Cu) + sin(Al))) ^ Al) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(-3*Cu + 3*sin(Al) + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**Al)**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(-3*Cu + 3*sin(Al) + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**Al)**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
41,43,0.088581199,0.010002491,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sqrt(Cr)) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + sin(Al))) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + Ni),4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9)
42,44,0.088345778,0.002661225,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ (inv((0.24008793471784998 + Co) ^ sin(sqrt(Cr))) + Al)) ^ (Al ^ 1.0411677927758254)) - Cu))) - Cu) + Al)) + cube(cube(sin((Cr / 0.21316763772352845) + sin(sin(Al) ^ 1.0411677927758254))))) + Ni),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al + 3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**(Al**1.0411677927758254))**9)) + Ni + sin(4.6911436026558954*Cr + sin(sin(Al)**1.0411677927758254))**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al + 3/(Co + 0.24008793471784998)**sin(sqrt(Cr))))**(Al**1.0411677927758254))**9)) + Ni + sin(4.6911436026558954*Cr + sin(sin(Al)**1.0411677927758254))**9)
43,45,0.087699641,0.007340603,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sqrt(Cr)) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + sin(Al))) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + (Ni + 0.13145504187751178)),4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9 + 0.13145504187751178,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(Al))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9 + 0.13145504187751178)
44,46,0.087295476,0.004619165,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sqrt(Cr)) - Cu) + Al)) ^ sin(sin(Al))) - Cu))) - Cu) + sin(Al))) + cube(cube(sin((Cr / 0.21316763772352845) + Al)))) + (Ni + 0.13145504187751178)),4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(sin(Al)))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9 + 0.13145504187751178,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(sin(Al)))**9)) + Ni + sin(Al + 4.6911436026558954*Cr)**9 + 0.13145504187751178)
45,47,0.082266933,0.059329399,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ sqrt(Cr)) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + sin(Al))) + (cube(cube(sin((Cr / 0.21316763772352845) + Al))) ^ 1.3351546774123038)) + (Ni + 0.13145504187751178)),4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(Al))**9)) + Ni + (sin(Al + 4.6911436026558954*Cr)**9)**1.3351546774123038 + 0.13145504187751178,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(sqrt(Cr))))**sin(Al))**9)) + Ni + (sin(Al + 4.6911436026558954*Cr)**9)**1.3351546774123038 + 0.13145504187751178)
46,58,0.081219503,0.001164894,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + sin(Co)) ^ (sqrt(Cr) ^ (0.6876617443269807 + Fe))) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + Al)) + (cube(cube(sin((sin(Cr) / 0.21316763772352845) + Al))) + Ni)) + (cube(sqrt(sin(1.3374484163082594) * Cu)) * sqrt(Ni))),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(sin(Co) + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + 0.95962324485189262*Cu**(3/2)*sqrt(Ni) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(sin(Co) + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + 0.95962324485189262*Cu**(3/2)*sqrt(Ni) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9)
47,59,0.081164333,0.000679506,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + Co) ^ (sqrt(Cr) ^ (0.6876617443269807 + Fe))) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + Al)) + (cube(cube(sin((sin(Cr) / 0.21316763772352845) + Al))) + Ni)) + ((cube((sin(1.3374484163082594) - 0.9343200849420517) * Cu) + Cu) * Ni)),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + Ni*(5.7412417713233142e-5*Cu**3 + Cu) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(Co + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + Ni*(5.7412417713233142e-5*Cu**3 + Cu) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9)
48,60,0.080779388,0.004754069,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + sin(Co)) ^ (sqrt(Cr) ^ (0.6876617443269807 + Fe))) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + Al)) + (cube(cube(sin((sin(Cr) / 0.21316763772352845) + Al))) + Ni)) + (cube(sqrt(sin(1.3374484163082594) * Cu)) * (sqrt(Ni) ^ 0.7176336931104994))),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(sin(Co) + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + 0.95962324485189262*Cu**(3/2)*Ni**0.3588168465552497 + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(sin(Co) + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + 0.95962324485189262*Cu**(3/2)*Ni**0.3588168465552497 + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9)
49,61,0.080615167,0.002035021,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + (Co * 1.0587528271401432)) ^ (sqrt(Cr) ^ (0.6876617443269807 + Fe))) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + Al)) + (cube(cube(sin((sin(Cr) / 0.21316763772352845) + Al))) + Ni)) + ((cube((sin(1.3374484163082594) - 0.9343200849420517) * Cu) + Cu) * Ni)),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(1.0587528271401432*Co + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + Ni*(5.7412417713233142e-5*Cu**3 + Cu) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(1.0587528271401432*Co + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + Ni*(5.7412417713233142e-5*Cu**3 + Cu) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9)
50,62,0.079751813,0.010767335,(((4.974996772298727 ^ (sin(cube(cube(cos((cube(Ni ^ ((inv(((0.24008793471784998 - -0.06580371464085466) + (Co * 1.0587528271401432)) ^ (sqrt(Cr) ^ (0.6876617443269807 + Fe))) - Cu) + Al)) ^ sin(Al)) - Cu))) - Cu) + Al)) + (cube(cube(sin((sin(Cr) / 0.21316763772352845) + Al))) + Ni)) + (sqrt(cube((sin(1.3374484163082594) - 0.9343200849420517) * Cu) + Cu) * Ni)),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(1.0587528271401432*Co + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + Ni*sqrt(5.7412417713233142e-5*Cu**3 + Cu) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**(3*Al - 3*Cu + 3/(1.0587528271401432*Co + 0.30589164935870464)**(Cr**(Fe/2 + 0.3438308721634903))))**sin(Al))**9)) + Ni*sqrt(5.7412417713233142e-5*Cu**3 + Cu) + Ni + sin(Al + 4.6911436026558954*sin(Cr))**9)
